loan_id,gender,married,dependents,education,self_employed,applicant_income,coapplicant_income,loan_amount,loan_amount_term,credit_history,property_area,loan_status
1,Male,No,3+,Not Graduate,No,7831,2926,466,120,1,Urban,Y
2,Female,No,2,Not Graduate,No,1810,3133,165,240,1,Semiurban,Y
3,Female,Yes,3+,Graduate,Yes,7589,1950,227,360,1,Semiurban,Y
4,Male,Yes,0,Graduate,Yes,7413,2715,277,120,1,Urban,Y
5,Female,Yes,0,Not Graduate,Yes,7445,2788,447,180,1,Semiurban,Y
6,Female,No,2,Graduate,No,8865,1609,125,180,1,Rural,Y
7,Female,No,3+,Not Graduate,Yes,7989,3400,67,180,1,Semiurban,Y
8,Female,No,0,Not Graduate,Yes,1801,919,118,180,1,Urban,Y
9,Female,Yes,3+,Graduate,Yes,2839,4414,353,180,1,Urban,Y
10,Female,Yes,1,Not Graduate,No,3464,4144,380,360,1,Urban,Y
11,Female,No,2,Not Graduate,Yes,2678,2023,472,180,1,Rural,Y
12,Male,Yes,0,Graduate,Yes,5204,1323,166,120,1,Semiurban,Y
13,Male,Yes,2,Not Graduate,Yes,4177,653,295,180,1,Urban,Y
14,Female,No,3+,Graduate,No,6229,504,408,360,1,Urban,Y
15,Male,Yes,2,Graduate,Yes,7274,367,482,240,1,Urban,Y
16,Male,Yes,3+,Graduate,No,4899,1017,86,240,1,Semiurban,Y
17,Male,Yes,3+,Not Graduate,No,3225,777,331,180,1,Semiurban,Y
18,Male,No,1,Graduate,Yes,2013,3227,85,360,1,Semiurban,Y
19,Male,Yes,2,Graduate,No,5074,997,498,120,1,Semiurban,Y
20,Female,No,3+,Graduate,Yes,9048,4102,370,180,1,Semiurban,Y
21,Male,Yes,2,Graduate,No,3913,3386,58,180,1,Semiurban,Y
22,Female,No,2,Not Graduate,Yes,8839,4693,312,180,1,Urban,Y
23,Female,Yes,2,Not Graduate,Yes,4022,3818,151,180,1,Rural,Y
24,Male,No,2,Graduate,No,9504,3339,441,120,1,Urban,Y
25,Male,No,0,Not Graduate,Yes,2726,2461,485,360,1,Rural,Y
26,Female,Yes,3+,Not Graduate,No,7729,4819,132,360,1,Urban,Y
27,Female,Yes,2,Not Graduate,Yes,1606,4176,426,240,1,Urban,Y
28,Female,No,0,Graduate,No,9159,1187,67,240,1,Rural,Y
29,Female,Yes,0,Not Graduate,No,5852,1588,309,240,1,Urban,Y
30,Male,No,1,Not Graduate,No,4758,969,176,240,1,Rural,Y
31,Female,Yes,1,Not Graduate,No,6839,4195,314,240,1,Rural,Y
